compound_id	canonical_smiles	inchikey	pref_name	max_phase	alogp	mw
CHEMBL3545215	CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21	JCINBYQJBYJGDM-UHFFFAOYSA-N	BMS-911543	2.0	3.50	432.53
CHEMBL1922094	Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12	YOVVNQKCSKSHKT-HNNXBMFYSA-N	APITOLISIB	2.0	0.90	498.61
CHEMBL3991932	Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)cc1	LNMRSSIMGCDUTP-UHFFFAOYSA-N	PEXMETINIB	2.0	6.07	556.64
CHEMBL3544960	NC[C@@](O)(c1ccc(Cl)cc1)c1ccc(-c2cn[nH]c2)cc1	IIRWNGPLJQXWFJ-KRWDZBQOSA-N	AT-13148	1.0	2.92	313.79
CHEMBL1946170	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1	FNHKPVJBJVTLMP-UHFFFAOYSA-N	REGORAFENIB	4.0	5.69	482.82
CHEMBL3544932	CCS(=O)(=O)c1cccc(-c2cc(C(=O)NC3CCN(C)CC3)c(C)c3[nH]c4ncc(C)cc4c23)c1	WKDACQVEJIVHMZ-UHFFFAOYSA-N	TAK-901	1.0	4.62	504.66
CHEMBL5416410	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O	XHXFZZNHDVTMLI-UHFFFAOYSA-N	DASATINIB	4.0	3.31	506.03
CHEMBL1090479	CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1	QTBWCSQGBMPECM-UHFFFAOYSA-N	GSK-1070916	1.0	5.94	507.64
CHEMBL2103839	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OP(C)(C)=O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	BUROJSBIWGDYCN-GAUTUEMISA-N	RIDAFOROLIMUS	3.0	7.74	990.22
CHEMBL3039513	CC[C@@](C)(Nc1ccnc(-c2c[nH]c3ncccc23)n1)C(=O)NCC(F)(F)F	ASUGUQWIHMTFJL-QGZVFWFLSA-N	DECERNOTINIB	2.0	3.28	392.39
CHEMBL3545154	C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2OC)CC1	LPFWVDIFUFFKJU-UHFFFAOYSA-N	POZIOTINIB	3.0	5.38	491.35
CHEMBL3218575	Cc1ccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc3nsnc3c2)cc1	MQMKRQLTIWPEDM-UHFFFAOYSA-N			4.49	448.53
CHEMBL3545360	COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncnc(Nc2ccccc2S(=O)(=O)C(C)C)n1	MGGBYMDAPCCKCT-UHFFFAOYSA-N	ASP-3026	1.0	3.77	580.76
CHEMBL1721885	Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NC[C@H](O)CN1CCOCC1	CTNPALGJUAXMMC-PMFHANACSA-N	SU-014813	2.0	1.69	442.49
CHEMBL2105717	COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC	ONIQOQHATWINJY-UHFFFAOYSA-N	CABOZANTINIB	4.0	5.54	501.51
CHEMBL1088752	Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1	KKYABQBFGDZVNQ-UHFFFAOYSA-N	LOSMAPIMOD	3.0	3.86	383.47
CHEMBL477772	Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O	CUIHSIWYWATEQL-UHFFFAOYSA-N	PAZOPANIB	4.0	3.14	437.53
CHEMBL3184679	COc1cc(CCc2cc(NC(=O)c3ccc(N4CC(C)NC(C)C4)cc3)n[nH]2)cc(OC)c1	VRQMAABPASPXMW-UHFFFAOYSA-N	AZD-4547		3.65	463.58
CHEMBL3991934	COCc1c(-c2ccc(NC(=O)Nc3cc(C(F)(F)F)ccc3F)c(F)c2)c2c(N)ncnn2c1CN1CCOCC1	GZPJCJKUZPUFAL-UHFFFAOYSA-N			4.90	591.54
CHEMBL571948	C[C@@H](N)c1ccc(C(=O)Nc2ccnc3[nH]ccc23)cc1	JTVBXQAYBIJXRP-SNVBAGLBSA-N	Y-39983	1.0	2.83	280.33
CHEMBL428690	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1	BIIVYFLTOXDAOV-YVEFUNNKSA-N	ALVOCIDIB	3.0	3.30	401.85
CHEMBL2105759	CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1	XUZMWHLSFXCVMG-UHFFFAOYSA-N	BARICITINIB	4.0	1.10	371.43
CHEMBL1738757	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1	WVXNSAVVKYZVOE-UHFFFAOYSA-N	REBASTINIB	2.0	6.05	553.60
CHEMBL1614710	O=C(Nc1ccc(OC(F)(F)F)cc1)c1sccc1NCc1ccnc2ccccc12	FGTCROZDHDSNIO-UHFFFAOYSA-N	OSI-930	1.0	6.06	443.45
CHEMBL2029988	COc1cc2ncnc(Oc3cccc(NC(=O)Nc4cc(C(C)(C)C(F)(F)F)on4)c3)c2cc1OC	DKNUPRMJNUQNHR-UHFFFAOYSA-N	CEP-32496	2.0	5.91	517.46
CHEMBL3991933	Cc1nc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2o1	JUUFLLKHNYWHKP-UHFFFAOYSA-N			3.11	308.35
CHEMBL551064	Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@H](N2CCC2)C1	USVCWSAJUAARAL-MEMLXQNLSA-N	AEW-541	1.0	4.67	425.54
CHEMBL1908391	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1	WJEOLQLKVOPQFV-UHFFFAOYSA-N	MASITINIB	3.0	5.26	498.66
CHEMBL1615025	Cn1c(=O)c(F)c(Nc2ccc(I)cc2F)c2c(=O)n(C[C@@H](O)CO)cnc21	RCLQNICOARASSR-SECBINFHSA-N	TAK-733	2.0	1.07	504.23
CHEMBL941	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1	KTUFNOKKBVMGRW-UHFFFAOYSA-N	IMATINIB	4.0	4.59	493.62
CHEMBL2105728	CC1(COc2ccc3c(c2)ncn3-c2ccc3cccc(N4CCC(N)CC4)c3n2)COC1	DYNHJHQFHQTFTP-UHFFFAOYSA-N	CRENOLANIB	3.0	3.92	443.55
CHEMBL2220486	CNC(=O)c1cccc2cc(Oc3ccnc4cc(OCC5(N)CC5)c(OC)cc34)ccc12	CUDVHEFYRIWYQD-UHFFFAOYSA-N	LUCITANIB	2.0	4.42	443.50
CHEMBL445813	O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl	OVPNQJVDAFNBDN-UHFFFAOYSA-N	AT-7519	2.0	2.45	382.25
CHEMBL939	COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1	XGALLCVXEZPNRQ-UHFFFAOYSA-N	GEFITINIB	4.0	4.28	446.91
CHEMBL283120	COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC	YJGVMLPVUAXIQN-HAEOHBJNSA-N	AXL-1717	2.0	2.41	414.41
CHEMBL3545157	O=c1sn(-c2cccc3ccccc23)c(=O)n1Cc1ccccc1	PMJIHLSCWIDGMD-UHFFFAOYSA-N	TIDEGLUSIB	2.0	3.26	334.40
CHEMBL3590106	CC(C)Nc1cc(-c2c[nH]c(C(=O)N[C@H](CO)c3cccc(Cl)c3)c2)c(Cl)cn1	KSERXGMCDHOLSS-LJQANCHMSA-N	ULIXERTINIB	2.0	4.67	433.34
CHEMBL3218578	COc1ccc(-c2ccc3ncc4c(c3c2)n(-c2ccc(N3CCNCC3)c(C(F)(F)F)c2)c(=O)n4C)cn1	BMMXYEBLEBULND-UHFFFAOYSA-N	BGT-226 FREE BASE	2.0	4.38	534.54
CHEMBL3301610	CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1	UZWDCWONPYILKI-UHFFFAOYSA-N	ABEMACICLIB	4.0	4.94	506.61
CHEMBL253969	NC(=O)c1c(OCc2c(F)cc(Br)cc2F)nsc1NC(=O)NCCCCN1CCCC1	HXHAJRMTJXHJJZ-UHFFFAOYSA-N	OSI-632	2.0	3.86	532.41
