stitch_chemical	stitch_name	molecular_weight	stitch_smiles	compound_id	pubchem_cid
CIDs03229425	AC1MLVZO	395.5178	CN1CCCC1CCN(C2=NC3=CC=CC=C3S2)C(=O)C4=CC=CC=C4OC	CHEMBL1583768	3229425
CIDs03246323	O-phosphothreonine	199.099062	CC(C(C(=O)O)N)OP(=O)(O)O	PUBCHEM:3246323	3246323
CIDs03380837	AC1MP7MF	320.36508	C1=CC=C(C=C1)N2C=C(NC2=S)C3=CC4=CC=CC=C4OC3=O	CHEMBL1352521	3380837
CIDs03390551	AC1MPSSS	274.31832	CC1=CC2=C(C=C1)OC(=N2)N=C(N)NC(=O)C(C)(C)C	CHEMBL1595790	3390551
CIDs03525351	AC1MRXG6	396.314036	C1CCC2=NC3=CC(=NN3C(=C2C1)C(F)(F)F)C(=O)NC4=C(C=C(C=C4)F)F	CHEMBL1583837	3525351
CIDs03554231	AC1MS651	327.81132	CC1CCCN(C1)C2=NC=NC3=C2C=NN3C4=CC=C(C=C4)Cl	CHEMBL1486874	3554231
CIDs03556268	osmium ammine-B	286.36548	[NH2-].[NH2-].[NH2-].[NH2-].[NH2-].[NH2-].[Os]	PUBCHEM:3556268	3556268
CIDs03606829	AC1MTRSQ	360.448943	CC1=CC(=C(N1CCOC)C)C2=NN=C(SC2)NC3=CC=CC=C3F	CHEMBL1579258	3606829
CIDs03762447	AC1MXA9E	338.18532	C1=CC=C(C=C1)C(=O)CC(C(=O)O)NC2=C(C=C(C=C2)Cl)Cl	CHEMBL1500447	3762447
CIDs03789016	5T-0269	336.43076	CN1CCN(CC1)C2=CC=C(C=C2)NC(=O)N3CCC4=CC=CC=C43	CHEMBL1569984	3789016
CIDs03824948	3T-0330	322.40418	CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=CC(=CC=C4)OC	CHEMBL1303404	3824948
CIDs03903461	KSC-8-64	386.42162	CC1=C(C=C(C=C1)NC(=O)C2=CC3=CC=CC=C3OC2=O)S(=O)(=O)N(C)C	CHEMBL1507250	3903461
CIDs04263090	1W-0926	303.40084	CN1CCN(CC1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4C=C3	CHEMBL1453996	4263090
CIDs04294544	AC1N8FAO	359.50884	CC1CCC2=C(C1)SC=C2C(=O)NNC(=S)NC3=CC=CC=C3C	CHEMBL1496413	4294544
